player_name,slug,player_status,career_g,career_pts,career_trb,career_ast,career_stl,career_blk,career_tov,career_mp,career_fg_pct,career_fg3_pct,career_ft_pct,career_per,career_ts_pct,career_efg_pct,career_ws,career_ws_per48,career_bpm,career_vorp,career_obpm,career_dbpm,career_ppg,career_rpg,career_apg,career_spg,career_bpg,career_topg,career_mpg,mvp,dpoy,finals_mvp,all_nba_1st,all_nba_2nd,all_nba_3rd,championships,allstar,honors_index,is_benchmark,career_bpm_imputed,career_vorp_imputed
Michael Jordan,jordami01,historical,82.0,1640.0,497.0,311.0,123.0,39.0,173.0,3031.0,0.445,0.291,0.821,19.3,0.491,,6.2,0.099,1.7,2.8,1.8,0.0,20.0,6.060975609756097,3.792682926829268,1.5,0.47560975609756095,2.1097560975609757,36.96341463414634,5.0,1.0,6.0,10.0,1.0,0.0,6.0,14.0,91.0,False,False,False
LeBron James,jamesle01,active,45.0,961.0,255.0,315.0,50.0,29.0,138.0,1490.0,0.505,0.31,0.743,20.5,0.586,,3.6,0.118,3.0,1.9,3.2,-0.2,21.355555555555554,5.666666666666667,7.0,1.1111111111111112,0.6444444444444445,3.066666666666667,33.111111111111114,4.0,0.0,4.0,13.0,3.0,3.0,4.0,20.0,84.5,True,False,False
Kareem Abdul-Jabbar,abdulka01,historical,74.0,748.0,334.0,74.0,38.0,85.0,95.0,1695.0,0.475,0.0,0.739,12.9,0.511,,2.9,0.082,-2.1,0.0,-1.9,-0.2,10.108108108108109,4.513513513513513,1.0,0.5135135135135135,1.1486486486486487,1.2837837837837838,22.905405405405407,6.0,0.0,2.0,10.0,5.0,0.0,6.0,19.0,88.5,False,False,False
Bill Russell,russebi01,historical,77.0,762.0,1484.0,374.0,,,,3291.0,0.433,,0.526,15.2,0.467,,10.9,0.159,0.07999999999999972,0.327,0.0559999999999998,0.023999999999999917,9.896103896103897,19.272727272727273,4.857142857142857,,,,42.74025974025974,5.0,0.0,0.0,3.0,8.0,0.0,11.0,12.0,78.0,False,True,True
Wilt Chamberlain,chambwi01,historical,,,,,,,,,,,,,,,,,0.8500000000000001,0.7,0.595,0.255,,,,,,,,4.0,0.0,1.0,7.0,3.0,0.0,2.0,13.0,52.5,False,True,True
Magic Johnson,johnsma02,historical,32.0,468.0,183.0,220.0,26.0,13.0,103.0,958.0,0.466,0.379,0.856,21.1,0.612,,3.6,0.181,5.2,1.8,4.7,0.5,14.625,5.71875,6.875,0.8125,0.40625,3.21875,29.9375,3.0,0.0,3.0,10.0,2.0,0.0,5.0,12.0,67.0,False,False,False
Larry Bird,birdla01,historical,45.0,908.0,434.0,306.0,42.0,33.0,125.0,1662.0,0.466,0.406,0.926,21.0,0.547,,5.5,0.159,5.5,3.1,4.3,1.3,20.177777777777777,9.644444444444444,6.8,0.9333333333333333,0.7333333333333333,2.7777777777777777,36.93333333333333,3.0,0.0,2.0,9.0,1.0,0.0,3.0,12.0,55.0,False,False,False
Shaquille O'Neal,onealsh01,historical,37.0,341.0,178.0,26.0,16.0,42.0,56.0,752.0,0.667,,0.557,17.4,0.659,,2.7,0.174,0.3,0.4,-1.7,2.0,9.216216216216216,4.8108108108108105,0.7027027027027027,0.43243243243243246,1.135135135135135,1.5135135135135136,20.324324324324323,1.0,0.0,3.0,8.0,6.0,0.0,4.0,15.0,55.5,False,False,False
Tim Duncan,duncati01,historical,61.0,522.0,447.0,163.0,47.0,78.0,90.0,1536.0,0.488,0.0,0.702,16.9,0.523,,5.2,0.163,3.0,2.0,-0.1,3.1,8.557377049180328,7.327868852459017,2.6721311475409837,0.7704918032786885,1.278688524590164,1.4754098360655739,25.18032786885246,2.0,0.0,3.0,10.0,3.0,2.0,5.0,15.0,65.5,False,False,False
Kobe Bryant,bryanko01,historical,66.0,1161.0,247.0,184.0,62.0,13.0,129.0,1863.0,0.358,0.285,0.826,14.9,0.469,,-0.4,-0.01,-1.6,0.2,0.9,-2.4,17.59090909090909,3.742424242424242,2.787878787878788,0.9393939393939394,0.19696969696969696,1.9545454545454546,28.227272727272727,1.0,0.0,2.0,11.0,2.0,2.0,5.0,18.0,60.0,False,False,False
Jerry West,westje01,historical,31.0,629.0,116.0,206.0,81.0,23.0,,967.0,0.447,,0.833,22.4,0.519,,3.2,0.159,4.7,1.6,3.3,1.4,20.29032258064516,3.7419354838709675,6.645161290322581,2.6129032258064515,0.7419354838709677,,31.193548387096776,0.0,0.0,1.0,10.0,2.0,0.0,1.0,14.0,35.0,False,False,False
Hakeem Olajuwon,olajuha01,historical,61.0,435.0,366.0,66.0,74.0,90.0,98.0,1378.0,0.464,0.0,0.56,14.4,0.478,,2.1,0.074,-0.4,0.6,-2.7,2.4,7.131147540983607,6.0,1.0819672131147542,1.2131147540983607,1.4754098360655739,1.6065573770491803,22.59016393442623,1.0,2.0,2.0,6.0,5.0,1.0,2.0,12.0,44.5,False,False,False
Charles Barkley,barklch01,historical,20.0,289.0,209.0,63.0,14.0,4.0,44.0,620.0,0.477,0.231,0.645,19.8,0.534,,1.9,0.148,2.0,0.6,2.6,-0.6,14.45,10.45,3.15,0.7,0.2,2.2,31.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,11.0,26.0,False,False,False
Karl Malone,malonka01,historical,42.0,554.0,367.0,163.0,50.0,20.0,103.0,1373.0,0.483,0.0,0.747,17.8,0.555,,4.3,0.151,2.8,1.7,1.1,1.7,13.19047619047619,8.738095238095237,3.880952380952381,1.1904761904761905,0.47619047619047616,2.4523809523809526,32.69047619047619,2.0,0.0,0.0,11.0,3.0,0.0,0.0,14.0,42.0,False,False,False
John Stockton,stockjo01,historical,82.0,884.0,201.0,629.0,137.0,16.0,182.0,2275.0,0.483,0.363,0.826,21.0,0.577,,9.0,0.19,5.0,4.0,3.9,1.1,10.78048780487805,2.451219512195122,7.670731707317073,1.670731707317073,0.1951219512195122,2.2195121951219514,27.74390243902439,0.0,0.0,0.0,6.0,5.0,0.0,0.0,10.0,22.0,False,False,False
Dirk Nowitzki,nowitdi01,historical,51.0,373.0,158.0,35.0,9.0,18.0,18.0,795.0,0.359,0.312,0.78,9.6,0.469,,0.3,0.016,-3.9,-0.4,-2.7,-1.2,7.313725490196078,3.0980392156862746,0.6862745098039216,0.17647058823529413,0.35294117647058826,0.35294117647058826,15.588235294117647,1.0,0.0,1.0,4.0,8.0,1.0,1.0,14.0,34.5,False,False,False
Kevin Durant,duranke01,active,62.0,1603.0,341.0,277.0,52.0,57.0,198.0,2258.0,0.514,0.405,0.887,20.9,0.635,,8.2,0.174,4.1,3.5,4.0,0.1,25.85483870967742,5.5,4.467741935483871,0.8387096774193549,0.9193548387096774,3.193548387096774,36.41935483870968,1.0,0.0,2.0,6.0,5.0,2.0,2.0,14.0,42.0,False,False,False
Stephen Curry,curryst01,active,39.0,1061.0,138.0,189.0,44.0,16.0,111.0,1222.0,0.468,0.391,0.931,22.7,0.636,,3.9,0.155,5.3,2.3,6.3,-1.0,27.205128205128204,3.5384615384615383,4.846153846153846,1.1282051282051282,0.41025641025641024,2.8461538461538463,31.333333333333332,2.0,0.0,1.0,5.0,4.0,1.0,4.0,10.0,44.5,True,False,False
Chris Paul,paulch01,historical,16.0,47.0,28.0,53.0,11.0,0.0,16.0,228.0,0.321,0.333,0.5,8.2,0.413,,0.1,0.016,-4.1,-0.1,-3.9,-0.3,2.9375,1.75,3.3125,0.6875,0.0,1.0,14.25,0.0,0.0,0.0,4.0,8.0,0.0,0.0,12.0,22.0,False,False,False
Dwyane Wade,wadedw01,historical,72.0,1083.0,285.0,301.0,59.0,38.0,166.0,1885.0,0.433,0.33,0.708,15.8,0.51,,2.4,0.061,0.6,1.2,0.8,-0.2,15.041666666666666,3.9583333333333335,4.180555555555555,0.8194444444444444,0.5277777777777778,2.3055555555555554,26.180555555555557,0.0,0.0,1.0,2.0,5.0,1.0,3.0,13.0,28.0,False,False,False
Carmelo Anthony,anthoca01,historical,69.0,919.0,288.0,68.0,47.0,52.0,59.0,1793.0,0.441,0.375,0.83,14.8,0.579,,3.6,0.097,-0.5,0.7,0.4,-0.8,13.318840579710145,4.173913043478261,0.9855072463768116,0.6811594202898551,0.7536231884057971,0.855072463768116,25.985507246376812,0.0,0.0,0.0,1.0,3.0,2.0,0.0,10.0,11.0,False,False,False
Kevin Garnett,garneke01,historical,38.0,122.0,150.0,62.0,28.0,10.0,16.0,556.0,0.47,0.0,0.667,12.3,0.491,,1.1,0.092,1.5,0.5,-1.6,3.1,3.210526315789474,3.9473684210526314,1.631578947368421,0.7368421052631579,0.2631578947368421,0.42105263157894735,14.631578947368421,1.0,1.0,0.0,4.0,4.0,1.0,1.0,15.0,30.0,False,False,False
Allen Iverson,iversal01,historical,,,,,,,,,,,,,,,,,0.8500000000000001,0.7,0.595,0.255,,,,,,,,1.0,0.0,0.0,3.0,3.0,5.0,0.0,11.0,22.0,False,True,True
Scottie Pippen,pippesc01,historical,23.0,136.0,68.0,50.0,21.0,9.0,29.0,412.0,0.379,0.271,0.63,12.4,0.448,,0.3,0.037,-0.6,0.1,-1.4,0.8,5.913043478260869,2.9565217391304346,2.1739130434782608,0.9130434782608695,0.391304347826087,1.2608695652173914,17.91304347826087,0.0,0.0,0.0,3.0,2.0,3.0,6.0,7.0,31.0,False,False,False
Reggie Miller,millere01,historical,66.0,974.0,156.0,146.0,50.0,5.0,77.0,2105.0,0.437,0.322,0.933,16.6,0.582,,6.6,0.151,1.8,2.0,2.2,-0.3,14.757575757575758,2.3636363636363638,2.212121212121212,0.7575757575757576,0.07575757575757576,1.1666666666666667,31.893939393939394,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,5.5,False,False,False
