player_name,slug,player_status,career_g,career_pts,career_trb,career_ast,career_stl,career_blk,career_tov,career_mp,career_fg_pct,career_fg3_pct,career_ft_pct,career_per,career_ts_pct,career_efg_pct,career_ws,career_ws_per48,career_bpm,career_vorp,career_obpm,career_dbpm,career_ppg,career_rpg,career_apg,career_spg,career_bpg,career_topg,career_mpg,mvp,dpoy,finals_mvp,all_nba_1st,all_nba_2nd,all_nba_3rd,championships,allstar,honors_index,is_benchmark,career_bpm_imputed,career_vorp_imputed,adj_career_pts,adj_career_trb,adj_career_ast,adj_career_stl,adj_career_blk,adj_career_ppg,adj_career_rpg,adj_career_apg,adj_career_efg_pct,adj_career_ts_pct,adj_career_ws,avg_pace_factor,avg_ppg_factor,avg_efg_factor,min_season_year,max_season_year,n_seasons
Michael Jordan,jordami01,historical,1072.0,32292.0,6672.0,5633.0,2514.0,893.0,2924.0,41011.0,0.497,0.327,0.835,27.9,0.569,,214.0,0.25,9.2,116.1,7.2,2.0,30.12313432835821,6.223880597014926,5.254664179104478,2.345149253731343,0.8330223880597015,2.7276119402985075,38.25652985074627,5.0,1.0,6.0,10.0,1.0,0.0,6.0,14.0,91.0,False,False,False,31113.56,6458.84,5416.57,2409.1,853.25,29.37,5.92,4.95,0.54,0.6,204.64,0.9709306014944346,1.051761234117436,1.0801729209844484,1984.0,2002.0,15
LeBron James,jamesle01,active,1607.0,43145.0,11986.0,11899.0,2395.0,1179.0,5609.0,60531.0,0.506,0.348,0.737,26.7,0.59,,275.0,0.218,8.4,158.5,6.8,1.6,26.848164281269447,7.458618543870566,7.404480398257623,1.4903546981953952,0.7336652146857499,3.4903546981953952,37.667081518357186,4.0,0.0,4.0,13.0,3.0,3.0,4.0,20.0,84.5,True,False,False,44954.4,12461.05,12353.85,2509.06,1231.66,27.99,7.73,7.66,0.57,0.61,288.22,1.0367597933492603,1.0562380920186054,1.0371479026859383,2003.0,2025.0,23
Kareem Abdul-Jabbar,abdulka01,historical,1560.0,38387.0,17440.0,5660.0,1160.0,3189.0,2527.0,57446.0,0.559,0.056,0.721,24.6,0.592,,273.4,0.228,5.7,85.7,4.1,1.6,24.60705128205128,11.179487179487179,3.628205128205128,0.7435897435897436,2.044230769230769,1.619871794871795,36.82435897435897,6.0,0.0,2.0,10.0,5.0,0.0,6.0,19.0,88.5,False,False,False,36261.76,16451.71,5341.65,1096.39,3013.44,23.81,10.54,3.42,0.64,0.67,258.04,0.9439887150921932,1.0052101228414378,1.1810206390911024,1969.0,1988.0,20
Bill Russell,russebi01,historical,963.0,14522.0,21620.0,4100.0,,,,40726.0,0.44,,0.561,18.9,0.471,,163.5,0.193,1.5599999999999996,4.905,1.0919999999999996,0.46799999999999986,15.079958463136034,22.45067497403946,4.257528556593977,,,,42.29075804776739,5.0,0.0,0.0,3.0,8.0,0.0,11.0,12.0,78.0,False,True,True,12932.7,19273.73,3657.74,0.0,0.0,14.08,19.98,3.71,,0.6,145.43,0.8940121183284977,0.9903071791339729,1.295040431331201,1956.0,1968.0,13
Wilt Chamberlain,chambwi01,historical,1045.0,31419.0,23924.0,4643.0,,,,47859.0,0.54,,0.511,26.2,0.547,,247.3,0.248,4.4799999999999995,7.4190000000000005,3.1359999999999997,1.3439999999999999,30.06602870813397,22.89377990430622,4.443062200956938,,,,45.79808612440191,4.0,0.0,1.0,7.0,3.0,0.0,2.0,13.0,52.5,False,True,True,30186.16,22954.97,4425.4,0.0,0.0,28.24,20.37,3.86,,0.68,235.07,0.8998290394885304,0.9717101179632548,1.2803381700823389,1959.0,1972.0,16
Magic Johnson,johnsma02,historical,906.0,17707.0,6559.0,10141.0,1724.0,374.0,3506.0,33245.0,0.52,0.303,0.848,24.1,0.61,,155.8,0.225,7.5,80.0,5.9,1.6,19.544150110375277,7.239514348785872,11.193156732891833,1.9028697571743929,0.41280353200883,3.869757174392936,36.69426048565121,3.0,0.0,3.0,10.0,2.0,0.0,5.0,12.0,67.0,False,False,False,16659.31,6182.96,9552.19,1626.02,353.49,18.84,6.82,10.3,0.58,0.66,146.49,0.9441631935971924,1.0202445770189286,1.1054330259347742,1979.0,1995.0,13
Larry Bird,birdla01,historical,897.0,21791.0,8974.0,5695.0,1556.0,755.0,2816.0,34443.0,0.496,0.376,0.886,23.5,0.564,,145.8,0.203,6.9,77.2,5.1,1.8,24.29319955406912,10.004459308807135,6.348940914158305,1.734671125975474,0.8416945373467113,3.1393534002229653,38.39799331103679,3.0,0.0,2.0,9.0,1.0,0.0,3.0,12.0,55.0,False,False,False,20578.33,8478.67,5375.46,1470.67,713.53,23.09,9.13,5.92,0.56,0.61,138.03,0.9410288922646242,1.0177000561719425,1.1056011315728085,1979.0,1991.0,13
Shaquille O'Neal,onealsh01,historical,1207.0,28596.0,13099.0,3026.0,739.0,2732.0,3310.0,41918.0,0.582,0.045,0.527,26.4,0.586,,181.7,0.208,5.1,75.5,4.4,0.7,23.691797845898922,10.852526926263463,2.507042253521127,0.6122618061309031,2.263463131731566,2.7423363711681854,34.72908036454018,1.0,0.0,3.0,8.0,6.0,0.0,4.0,15.0,55.5,False,False,False,30444.46,14129.88,3246.11,792.27,2910.93,23.57,10.8,2.45,0.63,0.63,191.09,1.0442863188162506,1.1095068451716563,1.0778062032081308,1992.0,2010.0,21
Tim Duncan,duncati01,historical,1392.0,26496.0,15091.0,4225.0,1025.0,3020.0,3381.0,47368.0,0.506,0.179,0.696,24.2,0.551,,206.4,0.209,5.6,91.1,3.3,2.3,19.03448275862069,10.841235632183908,3.0352011494252875,0.7363505747126436,2.1695402298850577,2.4288793103448274,34.02873563218391,2.0,0.0,3.0,10.0,3.0,2.0,5.0,15.0,65.5,False,False,False,28285.73,16099.33,4507.64,1092.39,3222.55,20.55,11.49,3.2,0.54,0.59,220.24,1.0651923146121494,1.1144056155736635,1.0752520718024305,1997.0,2015.0,19
Kobe Bryant,bryanko01,historical,1346.0,33643.0,7047.0,6306.0,1944.0,640.0,4010.0,48637.0,0.447,0.329,0.837,22.9,0.55,,172.7,0.17,4.6,80.1,4.6,-0.1,24.994799405646358,5.235512630014859,4.684992570579495,1.4442793462109955,0.475482912332838,2.9791976225854384,36.13447251114413,1.0,0.0,2.0,11.0,2.0,2.0,5.0,18.0,60.0,False,False,False,35929.54,7523.29,6738.65,2075.23,682.4,26.31,5.54,5.07,0.51,0.58,184.87,1.062701532730871,1.1127484511657888,1.0748125765967669,1996.0,2015.0,20
Oscar Robertson,roberos01,historical,1040.0,26710.0,7804.0,9887.0,77.0,4.0,,43886.0,0.485,,0.838,23.2,0.564,,189.2,0.207,-0.1,1.2,0.2,-0.3,25.682692307692307,7.503846153846154,9.506730769230769,0.07403846153846154,0.0038461538461538464,,42.198076923076925,1.0,0.0,0.0,9.0,2.0,0.0,1.0,12.0,34.0,False,False,False,24014.03,6983.78,8913.3,73.91,3.84,23.64,6.65,8.53,,0.68,169.98,0.9068801056648835,0.9683807684091538,1.2748148733790585,1960.0,1973.0,14
Jerry West,westje01,historical,932.0,25192.0,5366.0,6238.0,81.0,23.0,,36571.0,0.474,,0.814,22.9,0.55,,162.6,0.213,4.7,1.6,3.3,1.4,27.030042918454935,5.757510729613734,6.6931330472103,0.08690987124463519,0.02467811158798283,,39.23927038626609,0.0,0.0,1.0,10.0,2.0,0.0,1.0,14.0,35.0,False,False,False,22777.15,4820.24,5686.6,77.75,22.08,24.88,5.09,6.11,,0.67,147.23,0.9068801056648835,0.9683807684091538,1.2748148733790585,1960.0,1973.0,14
Hakeem Olajuwon,olajuha01,historical,1238.0,26946.0,13748.0,3058.0,2162.0,3830.0,3667.0,44222.0,0.512,0.202,0.712,23.6,0.553,,162.8,0.177,4.6,74.2,2.2,2.5,21.765751211631663,11.105008077544426,2.470113085621971,1.7463651050080775,3.0936995153473346,2.9620355411954766,35.7205169628433,1.0,2.0,2.0,6.0,5.0,1.0,2.0,12.0,44.5,False,False,False,25862.48,13200.42,2944.87,2078.18,3664.73,20.99,10.46,2.33,0.55,0.59,155.76,0.977010723255607,1.060623792925666,1.080251737514889,1984.0,2001.0,18
