player_name,player_status,goat_rank_v4,pillar4_volume,pillar4_peak,pillar4_context,pillar4_honors,era_scalar_v4,individual_brilliance_score,peak_year_v4,peak_era_mult_v4,prime_team_win_pct,sc_mult,all_def_1st_v4,all_def_2nd_v4,dpoy
Kareem Abdul-Jabbar,historical,1,70.86305012636201,97.68693159506793,50.52684370985875,81.32585445245292,1.0,66.87,1972,1.08,0.6199090909090909,1.0,5.0,6.0,0.0
LeBron James,active,2,71.84721197518837,92.86761433545381,63.09299437640385,69.77918313570487,0.88,75.14,2008,1.0,0.6546363636363636,0.95,5.0,1.0,0.0
Michael Jordan,historical,3,55.16542594509884,98.76964580224613,57.508405450940856,70.44520654111447,0.97,66.85,1988,1.08,0.7416,0.95,8.0,1.0,1.0
Tim Duncan,historical,4,58.881383053057064,82.07766110376532,54.69162538413367,54.46613190730837,0.97,58.68,2002,1.0,0.6643636363636364,0.95,8.0,7.0,0.0
Nikola Jokic,active,5,44.05494890119574,88.42643132019164,82.94575484682841,33.224598930481285,0.88,100.0,2024,0.9,0.6042857142857143,1.0,0.0,0.0,0.0
Karl Malone,historical,6,57.50434895459122,86.55716616524211,53.88015680203268,44.152600170502986,0.97,56.11,1996,1.0,0.6730909090909091,0.95,4.0,1.0,0.0
Kevin Durant,active,7,60.8049575807532,88.78068404932067,59.893180861888,32.52052235914128,0.88,73.91,2014,0.93,0.6403333333333333,1.0,1.0,0.0,0.0
Magic Johnson,historical,8,39.610830758063344,94.62835938113565,51.549151106265896,52.38770053475936,1.0,60.21,1989,1.08,0.699875,0.92,0.0,0.0,0.0
Larry Bird,historical,9,42.298915585031445,92.55877640775937,53.845612484018815,46.943617763310854,1.0,57.04,1986,1.08,0.7008181818181818,0.95,0.0,3.0,0.0
Kobe Bryant,historical,10,62.8060035684739,79.73801753648364,42.421029582984744,50.63919243586763,0.97,59.8,2006,1.0,0.6475454545454545,1.0,9.0,3.0,0.0
Wilt Chamberlain,historical,11,51.50607148581953,84.67580328898833,46.59954923023579,49.1060606060606,1.15,35.44,1966,1.08,0.6257692307692307,1.0,0.0,0.0,0.0
Kevin Garnett,historical,12,61.00446809224004,84.91446111154741,51.75099619953178,32.0643261257072,0.97,74.05,2004,1.0,0.5910000000000001,1.0,9.0,3.0,1.0
Shaquille O'Neal,historical,13,52.50197006492084,91.22836985261392,43.26537947030069,41.88901805781601,0.97,53.75,2000,1.0,0.6928181818181819,0.95,3.0,0.0,0.0
John Stockton,historical,14,55.173339066191325,86.9829707583968,62.08235431314692,22.52173913043478,0.97,64.05,1990,1.0,0.6587272727272727,0.92,2.0,3.0,0.0
Charles Barkley,historical,15,42.94298039986967,99.79129034791487,52.2638370195143,26.77323103154305,0.97,80.62,1989,1.08,0.5233636363636364,1.0,0.0,5.0,0.0
Stephen Curry,active,16,48.06461315364882,83.26066127385533,52.90824834630101,36.623885918003566,0.88,69.83,2016,0.9,0.645090909090909,1.0,0.0,0.0,0.0
Giannis Antetokounmpo,active,17,41.751438620776646,85.14004947773502,60.26855248716315,32.30686662016585,0.88,83.32,2020,0.9,0.6315,1.0,3.0,2.0,1.0
James Harden,active,18,56.11973393128746,82.37595225005892,53.43346722524141,26.598039215686274,0.88,72.84,2018,0.9,0.5938,1.0,0.0,0.0,0.0
Dirk Nowitzki,historical,19,59.316693220197045,85.62880118596644,42.36821973313878,29.981205921103616,0.97,61.76,2005,1.0,0.6342727272727273,1.0,0.0,1.0,0.0
Hakeem Olajuwon,historical,20,55.5702057798769,79.71209359422572,44.176734478298194,36.38483298457723,0.97,66.0,1993,1.0,0.6000000000000001,1.0,5.0,4.0,2.0
Chris Paul,historical,21,53.106406037579504,86.25481033534908,49.86495800965052,22.58056265984655,0.88,85.61,2008,1.0,0.511090909090909,1.0,1.0,5.0,0.0
Moses Malone,historical,22,52.66152416753444,81.58734371640492,39.57037675144416,37.08265519646594,1.0,60.68,1981,1.08,0.5033636363636363,1.0,1.0,1.0,0.0
Bill Russell,historical,23,53.2901062246357,59.43205083473561,31.847014711476106,66.34313725490196,1.15,18.71,1957,1.08,0.7529090909090909,0.95,0.0,0.0,0.0
Clyde Drexler,historical,24,54.1655489828506,79.63842786488988,57.50479139098445,14.835852127412231,1.0,75.8,1990,1.0,0.5394615384615384,1.0,0.0,2.0,0.0
Dwyane Wade,historical,25,55.670520461786715,84.71209979318829,42.586185302464386,21.363194605905605,0.88,64.56,2009,1.0,0.6247272727272727,1.0,3.0,2.0,0.0
Russell Westbrook,active,26,66.08016957559362,75.12192727558313,39.59045624051227,19.980392156862745,0.88,66.27,2015,0.9,0.5394615384615384,1.0,0.0,0.0,0.0
Rick Barry,historical,27,50.471915568384134,82.16462708877025,43.78680959907145,24.07114624505929,1.0,59.43,1968,1.08,0.5,1.0,0.0,2.0,0.0
Jerry West,historical,28,40.07611590485658,81.17376650062506,46.597846703246844,31.51615903278308,1.15,37.42,1964,1.08,0.6097272727272727,1.0,4.0,2.0,0.0
John Havlicek,historical,29,56.994154046043114,65.0073664274964,38.67628413729083,37.00523134154849,1.15,40.72,1970,1.08,0.5965454545454546,1.0,5.0,3.0,0.0
Artis Gilmore,historical,30,42.716412030515095,91.89550902328145,49.27676200830842,13.029411764705884,1.0,69.78,1973,1.08,0.5,1.0,0.0,0.0,0.0
Shai Gilgeous-Alexander,active,31,30.958976734328395,84.83210947930574,71.8395250679105,7.817135549872123,0.88,96.35,2024,0.9,0.53375,1.0,1.0,0.0,0.0
Kawhi Leonard,active,32,38.11204315081618,79.05994266865623,59.021143168375204,19.08091141594978,0.88,73.78,2016,0.9,0.6169,1.0,5.0,4.0,2.0
Gary Payton,historical,33,59.835431959671084,73.09009975132146,40.46809014548779,20.425366193908395,0.97,71.96,1998,1.0,0.5,1.0,9.0,2.0,1.0
Bob Pettit,historical,34,41.86562865575697,70.62094583198684,42.60145762478981,37.872549019607845,1.15,51.01,1959,1.08,0.5,1.0,0.0,0.0,0.0
Luka Doncic,active,35,37.870666490744384,78.15856436032358,63.552595802317214,11.911764705882355,0.88,89.14,2022,0.9,0.5048,1.0,0.0,0.0,0.0
Ray Allen,historical,36,57.443983541640726,76.43509965142279,44.46272773119778,8.262566844919785,0.97,63.5,2003,1.0,0.5535384615384615,1.0,0.0,0.0,0.0
Jimmy Butler,active,37,43.12733834273145,78.59194215452382,54.707186491187606,9.352941176470589,0.88,77.52,2021,0.9,0.5,1.0,0.0,0.0,0.0
Damian Lillard,active,38,45.802545654569975,75.9832538960122,53.36113979038075,10.558823529411764,0.88,74.29,2019,0.9,0.5155454545454545,1.0,0.0,0.0,0.0
Reggie Miller,historical,39,50.02867869705977,77.73331631479687,53.448772581154444,4.382352941176471,0.97,71.81,1994,1.0,0.5,1.0,0.0,0.0,0.0
Patrick Ewing,historical,40,52.034822433011584,77.36917363680402,37.136807393280435,15.763427109974424,0.97,69.11,1990,1.0,0.5,1.0,1.0,3.0,0.0
